id;first_name;last_name;email;password;enable;language
1;Golden;Paucek;"?-?\{$!~#$\=?$~-\\_=-|^\'``=\D/&@JKAWh\#eEKwgw";white static French ;false;PORTUGUESE
2;Jazmyne;Moen;"$\b#-+\}$#}\D~{+/@u\?KQ\cIRywF3\Xb\rPfmBLR";mobile;false;ENGLISH
3;Kaia;Rempel;"%\B$`?@9Q\(qQxz\{fm\AskUfu";repurpose Fresh Metr;true;FRENCH
4;Cicero;Jenkins;"|?#@miMy-h\/cIBrGZ\rPEAl\46-C2X\cpA\hxLXGdb";New Mexico Botswana;false;PORTUGUESE
5;Missouri;Rice;"/*?\2~\!$`||\\N*{\o#@bdbm\/7J\3ImL";object-oriented Toys;true;DUTCH
6;Ariane;D'Amore;"!~#*$$\-{!}&\{%{@b8sBK5\>28\3hrv\fmzDpz\^2\NtH";Auto Loan Account;true;FRENCH
7;Rhiannon;Ledner;"-\,{+{#~`@h\xRuHL\1woDwtS\]uGQ8Jb\?IKSdvm\?DXv";Chicken Brunei Darus;true;FRENCH
8;Rogers;Stracke;"=?~=\7{`}ww\Z%%!{\-\?^?$*w\}!{}|=@MK50S\07cx\xLJLTw";Music;true;ITALIAN
9;Horacio;Bruen;"#\Y{~^\j|-~/@1OoL\-pZaj\hw\\hNZa4\*Cux";primary systematic c;false;ENGLISH
10;Summer;Kozey;"w^\5&*-$\@l\P9CZMU\16rbCt\@YSd\NV\)eqsg";Falkland Islands Pou;false;ITALIAN
